Token,Definition
recovering,"According to these models, the CA3 is important in recovering the original memory representation (i.e., pattern completion) when slightly modified inputs are fed from the cortical areas, mainly due to the recurrent network component in the CA3."
original,"According to these models, the CA3 is important in recovering the original memory representation (i.e., pattern completion) when slightly modified inputs are fed from the cortical areas, mainly due to the recurrent network component in the CA3."
memory,"According to these models, the CA3 is important in recovering the original memory representation (i.e., pattern completion) when slightly modified inputs are fed from the cortical areas, mainly due to the recurrent network component in the CA3."
representation,"According to these models, the CA3 is important in recovering the original memory representation (i.e., pattern completion) when slightly modified inputs are fed from the cortical areas, mainly due to the recurrent network component in the CA3."
ie,"According to these models, the CA3 is important in recovering the original memory representation (i.e., pattern completion) when slightly modified inputs are fed from the cortical areas, mainly due to the recurrent network component in the CA3."
pattern,"According to these models, the CA3 is important in recovering the original memory representation (i.e., pattern completion) when slightly modified inputs are fed from the cortical areas, mainly due to the recurrent network component in the CA3."
completion,"According to these models, the CA3 is important in recovering the original memory representation (i.e., pattern completion) when slightly modified inputs are fed from the cortical areas, mainly due to the recurrent network component in the CA3."
when,"According to these models, the CA3 is important in recovering the original memory representation (i.e., pattern completion) when slightly modified inputs are fed from the cortical areas, mainly due to the recurrent network component in the CA3."
slightly,"According to these models, the CA3 is important in recovering the original memory representation (i.e., pattern completion) when slightly modified inputs are fed from the cortical areas, mainly due to the recurrent network component in the CA3."
modified,"According to these models, the CA3 is important in recovering the original memory representation (i.e., pattern completion) when slightly modified inputs are fed from the cortical areas, mainly due to the recurrent network component in the CA3."
input,"According to these models, the CA3 is important in recovering the original memory representation (i.e., pattern completion) when slightly modified inputs are fed from the cortical areas, mainly due to the recurrent network component in the CA3."
fed,"According to these models, the CA3 is important in recovering the original memory representation (i.e., pattern completion) when slightly modified inputs are fed from the cortical areas, mainly due to the recurrent network component in the CA3."
cortical,"According to these models, the CA3 is important in recovering the original memory representation (i.e., pattern completion) when slightly modified inputs are fed from the cortical areas, mainly due to the recurrent network component in the CA3."
area,"According to these models, the CA3 is important in recovering the original memory representation (i.e., pattern completion) when slightly modified inputs are fed from the cortical areas, mainly due to the recurrent network component in the CA3."
mainly,"According to these models, the CA3 is important in recovering the original memory representation (i.e., pattern completion) when slightly modified inputs are fed from the cortical areas, mainly due to the recurrent network component in the CA3."
due,"According to these models, the CA3 is important in recovering the original memory representation (i.e., pattern completion) when slightly modified inputs are fed from the cortical areas, mainly due to the recurrent network component in the CA3."
recurrent,"According to these models, the CA3 is important in recovering the original memory representation (i.e., pattern completion) when slightly modified inputs are fed from the cortical areas, mainly due to the recurrent network component in the CA3."
network,"According to these models, the CA3 is important in recovering the original memory representation (i.e., pattern completion) when slightly modified inputs are fed from the cortical areas, mainly due to the recurrent network component in the CA3."
component,"According to these models, the CA3 is important in recovering the original memory representation (i.e., pattern completion) when slightly modified inputs are fed from the cortical areas, mainly due to the recurrent network component in the CA3."
ca3,"According to these models, the CA3 is important in recovering the original memory representation (i.e., pattern completion) when slightly modified inputs are fed from the cortical areas, mainly due to the recurrent network component in the CA3."
another,"Another function of the CA3 is in pattern completion, which is the ability to recollect stored patterns of information during recall based on partial or incomplete inputs to the hippocampus."
function,"Another function of the CA3 is in pattern completion, which is the ability to recollect stored patterns of information during recall based on partial or incomplete inputs to the hippocampus."
ca3,"Another function of the CA3 is in pattern completion, which is the ability to recollect stored patterns of information during recall based on partial or incomplete inputs to the hippocampus."
pattern,"Another function of the CA3 is in pattern completion, which is the ability to recollect stored patterns of information during recall based on partial or incomplete inputs to the hippocampus."
completion,"Another function of the CA3 is in pattern completion, which is the ability to recollect stored patterns of information during recall based on partial or incomplete inputs to the hippocampus."
ability,"Another function of the CA3 is in pattern completion, which is the ability to recollect stored patterns of information during recall based on partial or incomplete inputs to the hippocampus."
recollect,"Another function of the CA3 is in pattern completion, which is the ability to recollect stored patterns of information during recall based on partial or incomplete inputs to the hippocampus."
stored,"Another function of the CA3 is in pattern completion, which is the ability to recollect stored patterns of information during recall based on partial or incomplete inputs to the hippocampus."
pattern,"Another function of the CA3 is in pattern completion, which is the ability to recollect stored patterns of information during recall based on partial or incomplete inputs to the hippocampus."
information,"Another function of the CA3 is in pattern completion, which is the ability to recollect stored patterns of information during recall based on partial or incomplete inputs to the hippocampus."
during,"Another function of the CA3 is in pattern completion, which is the ability to recollect stored patterns of information during recall based on partial or incomplete inputs to the hippocampus."
recall,"Another function of the CA3 is in pattern completion, which is the ability to recollect stored patterns of information during recall based on partial or incomplete inputs to the hippocampus."
based,"Another function of the CA3 is in pattern completion, which is the ability to recollect stored patterns of information during recall based on partial or incomplete inputs to the hippocampus."
partial,"Another function of the CA3 is in pattern completion, which is the ability to recollect stored patterns of information during recall based on partial or incomplete inputs to the hippocampus."
incomplete,"Another function of the CA3 is in pattern completion, which is the ability to recollect stored patterns of information during recall based on partial or incomplete inputs to the hippocampus."
input,"Another function of the CA3 is in pattern completion, which is the ability to recollect stored patterns of information during recall based on partial or incomplete inputs to the hippocampus."
hippocampus,"Another function of the CA3 is in pattern completion, which is the ability to recollect stored patterns of information during recall based on partial or incomplete inputs to the hippocampus."
during,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
retrieval,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
information,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
marr,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
1971,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
suggested,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
hippocampus,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
recurrent,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
collateral,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
should,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
play,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
major,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
role,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
hippocampus,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
retrieving,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
originally,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
stored,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
information,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
pattern,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
face,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
partial,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
input,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
hippocampus,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
“collateral,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
effect”,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
pattern,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
completion,"During retrieval of information, Marr (1971) suggested that the hippocampus recurrent collaterals should play a major role in the hippocampus in retrieving originally stored information patterns in the face of partial inputs to the hippocampus (“collateral effect” or pattern completion). "
few,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
exception,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
computational,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
model,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
hippocampus,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
suggest,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
ca3,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
subregion,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
hippocampus,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
represented,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
autoassociative,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
attractor,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
network,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
memory,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
system,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
ca3,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
perform,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
pattern,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
completion,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
ie,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
degraded,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
version,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
stimulus,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
presented,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
after,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
learning,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
represented,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
feature,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
recalled,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
incomplete,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
input,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
information,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
temporarily,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
store,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
shortterm,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
episodic,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
working,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
memory,"With few exceptions, computational models of the hippocampus suggest that the CA3 subregion of the hippocampus can be represented as an autoassociative attractor network memory system in that CA3 can perform pattern completion, i.e., if a degraded version of a stimulus is presented after learning, the represented feature can be recalled from this incomplete input information, and can temporarily store short-term, episodic or working memories"
ha,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
been,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
suggested,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
possible,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
mechanism,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
memory,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
retrieval,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
pattern,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
completion,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
wherein,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
autoassociative,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
network,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
recall,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
previous,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
pattern,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
activity,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
given,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
noisy,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
degraded,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
cue,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
ability,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
retrieve,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
stored,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
memory,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
trace,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
based,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
incomplete,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
degraded,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
set,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
sensory,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
cue,"...it has been suggested that a possible mechanism for memory retrieval is pattern completion, wherein an autoassociative network recalls previous patterns of activity given noisy or degraded cues. | ...the ability to retrieve a stored memory trace based on an incomplete or degraded set of sensory cues."
memory,"Memory retrieval is thought to depend on the reinstatement of cortical memory representations guided by pattern completion processes in the hippocampus.|Memory retrieval is presumed to involve the reinstatement of cortical memory representations guided by the hippocampus, which pattern completes the full content of the original experience from a partial cue."
retrieval,"Memory retrieval is thought to depend on the reinstatement of cortical memory representations guided by pattern completion processes in the hippocampus.|Memory retrieval is presumed to involve the reinstatement of cortical memory representations guided by the hippocampus, which pattern completes the full content of the original experience from a partial cue."
thought,"Memory retrieval is thought to depend on the reinstatement of cortical memory representations guided by pattern completion processes in the hippocampus.|Memory retrieval is presumed to involve the reinstatement of cortical memory representations guided by the hippocampus, which pattern completes the full content of the original experience from a partial cue."
depend,"Memory retrieval is thought to depend on the reinstatement of cortical memory representations guided by pattern completion processes in the hippocampus.|Memory retrieval is presumed to involve the reinstatement of cortical memory representations guided by the hippocampus, which pattern completes the full content of the original experience from a partial cue."
